sku,descricao,gross_price,price,pagamento,date,day,hour
13771,Miss Dior Absolutely Blooming Dior - Perfume Feminino - Eau de Parfum,,"299,00","9x de R$ 33,22",2020-05-06 21:15:09.934161,05/06/20,21:15:09
9421,Paris Fiorucci - Perfume Feminino - Deo Colônia,"49,90","39,92",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
8440,Diamond Lonkoom - Perfume Feminino - Eau de Parfum,,"94,90","3x de R$ 31,63",2020-05-06 21:15:09.934161,05/06/20,21:15:09
6569,Royal Marina Diamond Marina de Bourbon - Perfume Feminino - Eau de Parfum,"221,00","176,70","5x de R$ 35,34",2020-05-06 21:15:09.934161,05/06/20,21:15:09
4614,Classic Jeans Forum - Perfume Unissex - Eau de Cologne,"69,90","55,92",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
4150,Hypnôse Lancôme - Perfume Feminino - Eau de Parfum,,"348,90","10x de R$ 34,89",2020-05-06 21:15:09.934161,05/06/20,21:15:09
3120,Cabotine de Grès Gres - Perfume Feminino - Eau de Toilette,"169,90","101,94","3x de R$ 33,98",2020-05-06 21:15:09.934161,05/06/20,21:15:09
2984,Black Caviar Woman Paris Elysees - Perfume Feminino - Eau de Toilette,"69,00","58,90",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
2657,Ange ou Démon Givenchy - Perfume Feminino - Eau de Parfum,"288,90","242,79","8x de R$ 30,34",2020-05-06 21:15:09.934161,05/06/20,21:15:09
2647,Amour Toujours Paris Elysees - Perfume Feminino - Eau de Toilette,"69,00","56,80",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
2561,212 Vip Carolina Herrera - Perfume Feminino - Eau de Parfum,,"288,90","9x de R$ 32,10",2020-05-06 21:15:09.934161,05/06/20,21:15:09
2555,212 Sexy Carolina Herrera - Perfume Feminino - Eau de Parfum,,"278,90","9x de R$ 30,98",2020-05-06 21:15:09.934161,05/06/20,21:15:09
2551,212 NYC Carolina Herrera - Perfume Feminino - Eau de Toilette,,"278,90","9x de R$ 30,98",2020-05-06 21:15:09.934161,05/06/20,21:15:09
1837,Rouge Royal Marina de Bourbon - Perfume Feminino - Eau de Parfum,"219,00","140,70","4x de R$ 35,17",2020-05-06 21:15:09.934161,05/06/20,21:15:09
1159,Midnight Fantasy Britney Spears - Perfume Feminino - Eau de Parfum,"284,00","218,68","7x de R$ 31,24",2020-05-06 21:15:09.934161,05/06/20,21:15:09
909,Light Blue Dolce&Gabbana - Perfume Feminino - Eau de Toilette,"275,80","234,43","7x de R$ 33,49",2020-05-06 21:15:09.934161,05/06/20,21:15:09
812,Laloa Sexy Via Paris - Perfume Feminino - Eau de Toilette,"53,00","39,00",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
330,Gucci Guilty Gucci - Perfume Feminino - Eau de Toilette,"298,90","253,80","8x de R$ 31,72",2020-05-06 21:15:09.934161,05/06/20,21:15:09
38167,JOY Intense By Dior Perfume Feminino – Eau de Parfum,,"459,00","10x de R$ 45,90",2020-05-06 21:15:09.934161,05/06/20,21:15:09
38044,My Delicate La Rive – Perfume Feminino Eau de Parfum,"69,90","59,42",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
37065,Nina Rouge Nina Ricci Perfume Feminino - Eau de Toilette,,"228,80","7x de R$ 32,68",2020-05-06 21:15:09.934161,05/06/20,21:15:09
36219,Woman Intense Ralph Lauren - Perfume Feminino Eau de Parfum,"398,80","299,79","9x de R$ 33,31",2020-05-06 21:15:09.934161,05/06/20,21:15:09
35796,Burberry Her Blossom Burberry Perfume Feminino - Eau de Toilette,"268,90","225,80","7x de R$ 32,25",2020-05-06 21:15:09.934161,05/06/20,21:15:09
35796,Burberry Her Blossom Burberry Perfume Feminino - Eau de Toilette,"268,90","225,80","7x de R$ 32,25",2020-05-06 21:15:09.934161,05/06/20,21:15:09
34764,Terracotta Le Parfum Guerlain - Perfume Feminino Eau de Toilette,,"359,90","10x de R$ 35,99",2020-05-06 21:15:09.934161,05/06/20,21:15:09
34739,Mon Guerlain Bloom Of Rose - Perfume Feminino Eau de Toilette,,"230,00","7x de R$ 32,85",2020-05-06 21:15:09.934161,05/06/20,21:15:09
34734,Aqua Allegoria Ginger Piccante Guerlain - Perfume Feminino Eau de Toilette,,"334,90","10x de R$ 33,49",2020-05-06 21:15:09.934161,05/06/20,21:15:09
34729,Aqua Allegoria Pera Granita Guerlain - Perfume Feminino Eau de Toilette,,"334,90","10x de R$ 33,49",2020-05-06 21:15:09.934161,05/06/20,21:15:09
34728,Aqua Allegoria Limon Verde Guerlain - Perfume Feminino Eau de Toilette,,"334,90","10x de R$ 33,49",2020-05-06 21:15:09.934161,05/06/20,21:15:09
32883,Olympéa Legend Paco Rabanne Perfume Feminino - Eau de Parfum,,"398,90","10x de R$ 39,89",2020-05-06 21:15:09.934161,05/06/20,21:15:09
31685,J’adore Roller Pearl Dior Perfume Feminino - Eau de Parfum,,"199,00","6x de R$ 33,16",2020-05-06 21:15:09.934161,05/06/20,21:15:09
30398,Dolce & Sense Vanille/Framboise Paris Elysees Perfume Feminino - Eau de Parfum,"49,90","42,42",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
29707,Romantic Glamour Paris Elysees - Perfume Feminino - Eau de Parfum,"74,00","55,50",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
27626,Real Time Wonderful Woman - Perfume Feminino Eau de Parfum,"59,00","47,20",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
27349,Paris La Nuit Fiorucci Perfume Feminino - Deo Colônia,,"49,90",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
25203,Sì Passione Giorgio Armani Perfume Feminino - Eau de Parfum,,"448,90","10x de R$ 44,89",2020-05-06 21:15:09.934161,05/06/20,21:15:09
24385,Cristal Royal Passion Marina de Bourbon - Perfume Feminino - Eau de Parfum,"229,00","139,00","4x de R$ 34,75",2020-05-06 21:15:09.934161,05/06/20,21:15:09
24050,Alien Flora Futura Mugler Perfume Feminino - Eau de Toilette,"278,90","199,80","6x de R$ 33,30",2020-05-06 21:15:09.934161,05/06/20,21:15:09
22549,Roller Pearl Dior Miss Dior Blooming Bouquet - Eau de Toilette,,"169,00","5x de R$ 33,80",2020-05-06 21:15:09.934161,05/06/20,21:15:09
20569,Olympéa Aqua Paco Rabanne - Perfume Feminino - Eau de Parfum Légère,,"298,90","9x de R$ 33,21",2020-05-06 21:15:09.934161,05/06/20,21:15:09
19883,Be Beautiful I-Scents Perfume Feminino - Eau de Parfum,"42,90","36,47",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
18905,The One Dolce&Gabbana - Perfume Feminino - Eau de Toilette,"453,90","385,82","10x de R$ 38,58",2020-05-06 21:15:09.934161,05/06/20,21:15:09
18810,Gucci Bloom Gucci - Perfume Feminino - Eau de Parfum,"399,00","309,00","10x de R$ 30,90",2020-05-06 21:15:09.934161,05/06/20,21:15:09
18283,La Vie Est Belle L'Éclat Lancôme - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 21:15:09.934161,05/06/20,21:15:09
16632,Bamboo Gucci - Perfume Feminino Eau de Parfum,"299,00","249,00","8x de R$ 31,12",2020-05-06 21:15:09.934161,05/06/20,21:15:09
16573,O Desejo Juliana Paes - Perfume Feminino - Deo Colônia,"69,90","59,42",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
15996,Angel Muse Mugler - Perfume Feminino - Eau de Parfum,"348,90","313,90","10x de R$ 31,39",2020-05-06 21:15:09.934161,05/06/20,21:15:09
15992,Olympéa Intense Paco Rabanne - Perfume Feminino - Eau de Parfum,,"328,90","10x de R$ 32,89",2020-05-06 21:15:09.934161,05/06/20,21:15:09
