dpto,categoria,sku,descricao,gross_price,price,pagamento,frete,date,day,hour
perfumes,feminino,42260,Forever and Ever Dior Eau de Toilette - Perfume Fe,," 535,00                            ","10x de R$ 53,50",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,64870,J'adore Roller-Pearl Dior Eau de Parfum - Perfume ,," 199,00                            ","3x de R$ 66,33",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,32732,Dolce Floral Drops Dolce & Gabbana Eau de Toilette,"454,90"," 408,90                            ","8x de R$ 51,11",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,38278,Le Parfum Rose Couture Elie Saab Eau de Toilette -,"484,90"," 388,90                            ","7x de R$ 55,56",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,67717,Unicorn Mystic Line Pink Fiorucci Eau de Cologne -,"45,90"," 36,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,28807,Laloa in Paris Via Paris Eau de Toilette - Perfume,," 55,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,64109,Black Opium Glow Yves Saint Laurent Eau de Toilett,," 518,90                            ","10x de R$ 51,89",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,7543,212 VIP Carolina Herrera Eau de Parfum - Perfume F,," 509,00                            ","10x de R$ 50,90",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,7412,Miracle Lancôme Eau de Parfum - Perfume Feminino 3,"468,90"," 299,90                            ","6x de R$ 49,98",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,72849,Beauty Swarovski La Rive Eau de Parfum - Perfume F,"149,90"," 133,90","2x de R$ 66,95",False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,43968,I Am Juicy Couture Eau de Parfum - Perfume Feminin,"638,90"," 608,90                            ","10x de R$ 60,89",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,73697,Mon Guerlain Bloom of Rose Eau de Parfum - Perfume,," 264,90                            ","5x de R$ 52,98",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,16224,Ange ou Démon Le Secret Givenchy Eau de Parfum - P,"302,90"," 287,90                            ","5x de R$ 57,58",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,55116,Black XS For Her Paco Rabanne Eau de Parfum - Perf,," 499,00                            ","10x de R$ 49,90",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,10162,Cabotine Grès Eau de Toilette - Perfume Feminino 1,"378,90"," 272,90                            ","5x de R$ 54,58",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,51923,Lady Million Lucky Paco Rabanne Eau de Parfum - Pe,," 398,90                            ","7x de R$ 56,99",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,67726,Golden Fiorucci Eau de Cologne - Perfume Feminino ,"39,90"," 32,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,56998,CH L'Eau Carolina Herrera Eau de Toilette - Perfum,," 558,90                            ","10x de R$ 55,89",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,67719,Majestic Esmeralda Fiorucci Eau de Cologne - Perfu,"49,90"," 38,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,66891,Kenzo World Fantasy Collector Eau de Toilette - Pe,"397,90"," 378,90                            ","7x de R$ 54,13",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,67707,L'Amour Fiorucci Eau de Cologne - Perfume Feminino,," 49,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,63309,Kenzo World Intense Eau de Parfum - Perfume Femini,"260,90"," 247,90                            ","4x de R$ 61,98",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,52276,Cheap and Chic So Real Moschino Eau de Toilette - ,," 148,90","2x de R$ 74,45",False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,47037,Framboesa e Orquídea Orgânica - Body Splash Femini,"39,90"," 24,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,67721,Donna Fiorucci Eau de Cologne - Perfume Feminino 1,"39,90"," 31,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,38990,Lady Million Privé Paco Rabanne Eau de Parfum - Pe,"329,00"," 328,90                            ","6x de R$ 54,82",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,17475,Baiser Volé Cartier Eau de Parfum - Perfume Femini,"902,90"," 859,90                            ","10x de R$ 85,99",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,54559,L'Interdit Givenchy Eau de Parfum - Perfume Femini,," 418,90                            ","8x de R$ 52,36",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,44865,It's Life Paris Elysees Eau de Toilette - Perfume ,"71,90"," 59,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,55402,Sì Passione Giorgio Armani Eau de Parfum - Perfume,," 448,90                            ","8x de R$ 56,11",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,17068,Pour Femme Dolce & Gabbana Eau de Parfum - Perfume,," 408,90                            ","8x de R$ 51,11",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,64919,La Nuit Trésor Musc Diamant Lancôme Eau de Parfum ,," 398,90                            ","7x de R$ 56,99",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,67725,Delicious Fiorucci Eau de Cologne - Perfume Femini,"39,90"," 31,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,51040,Conjunto Lady Million Privé Paco Rabanne Feminino ,," 439,00                            ","8x de R$ 54,88",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,65633,Ebon I-Scents Eau de Parfum - Perfume Feminino 100,"46,90"," 44,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,41199,Sì Intense Giorgio Armani Eau de Parfum – Perfume ,," 498,90                            ","9x de R$ 55,43",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,43332,CH Privée Carolina Herrera Eau de Parfum - Perfume,," 409,00                            ","8x de R$ 51,13",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,57213,English Dahlia Yardley Eau de Toilette - Perfume F,"150,90"," 143,90","2x de R$ 71,95",False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,9944,Gucci Guilty Eau de Toilette - Perfume Feminino 30,"328,90"," 253,90                            ","5x de R$ 50,78",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,26261,Femme de Varens Sensuelle Ulric de Varens Eau de P,"113,90"," 84,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,33053,Lady Emblem Montblanc Eau de Parfum - Perfume Femi,," 498,90                            ","9x de R$ 55,43",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,10058,Narciso Rodriguez For Her Eau de Toilette - Perfum,," 453,90                            ","9x de R$ 50,43",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,51055,Aura Mugler Eau de Parfum - Perfume Feminino 90ml,," 588,90                            ","10x de R$ 58,89",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,44273,Rose Goldea Bvlgari Eau de Parfum - Perfume Femini,"468,90"," 363,90                            ","7x de R$ 51,99",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,44377,Rose Extase Nina Ricci Eau de Toilette - Perfume F,"449,00"," 323,90                            ","6x de R$ 53,98",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,29717,Puccini Lovely Night Arsenal Eau de Parfum - Perfu,," 193,90                            ","3x de R$ 64,63",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,17520,Midnight Fantasy Britney Spears Eau de Parfum - Pe,"355,90"," 351,90                            ","7x de R$ 50,27",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,46288,Because It’s You Giorgio Armani Eau de Parfum - Pe,," 538,90                            ","10x de R$ 53,89",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,10004,Daisy Eau So Fresh Marc Jacobs Eau de Toilette - P,," 433,90                            ","8x de R$ 54,24",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,67575,Animale Seduction Femme Eau de Parfum - Perfume Fe,"180,90"," 137,90","2x de R$ 68,95",False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,56140,Love Dust Coscentra Eau de Parfum - Perfume Femini,," 78,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,41204,Black Opium Yves Saint Laurent Eau de Parfum – Per,," 578,90                            ","10x de R$ 57,89",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,63313,Flower by KENZO Eau de Vie Eau de Parfum - Perfume,"248,90"," 237,90                            ","4x de R$ 59,48",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,53760,California Free Wave For Her Hollister Eau de Parf,"168,90"," 116,90","2x de R$ 58,45",False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,53092,Pegolia Anna Pegova Eau de Toilette - Perfume Femi,," 44,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,68488,Code Absolu Giorgio Armani Eau de Parfum - Perfume,," 298,90                            ","5x de R$ 59,78",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,72482,Sky Di Gioia Giorgio Armani Eau de Parfum - Perfum,"368,90"," 299,90                            ","6x de R$ 49,98",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,28576,Brit Rhythm For Her Floral Burberry Eau de Toilett,," 512,90                            ","10x de R$ 51,29",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,68408,PRADA Candy Night Eau de Parfum - Perfume Feminino,"319,00"," 289,00                            ","5x de R$ 57,80",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,56134,Silver Light Woman Coscentra Eau de Parfum - Perfu,," 98,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,17450,Cabotine Rose Grès Eau de Toilette - Perfume Femin,"377,90"," 241,90                            ","4x de R$ 60,48",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,7364,Armani Code Giorgio Armani Eau de Parfum - Perfume,," 298,90                            ","5x de R$ 59,78",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,26849,Daisy Dream Marc Jacobs Eau de Toilette - Perfume ,"450,90"," 368,90                            ","7x de R$ 52,70",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,36427,L.12.12 Pour Elle Elegant Lacoste Eau de Toilette ,," 428,90                            ","8x de R$ 53,61",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,49488,Girl of Now Elie Saab Eau de Parfum - Perfume Femi,," 549,00                            ","10x de R$ 54,90",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,43905,Dior J’adore Hair Mist - Perfume para Cabelo 40ml,," 235,00                            ","3x de R$ 78,33",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,20898,Dot Marc Jacobs Eau de Parfum - Perfume Feminino 5,," 498,90                            ","9x de R$ 55,43",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,42258,Dior Addict Eau Fraîche Eau de Toilette - Perfume ,," 535,00                            ","10x de R$ 53,50",True,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,44833,Woman Love Paris Elysees Eau de Toilette - Perfume,"46,90"," 44,90",,False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
perfumes,feminino,26263,Femme de Varens Sublime Ulric de Varens Eau de Par,"114,90"," 107,90","2x de R$ 53,95",False,2020-05-05 19:58:04.339532,05/05/20,19:58:04
